          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               8.529                   (-0.9467, -0.3222)                   (-0.4696, -1.201)
                8.53                   (-0.9451, -0.3268)                   (-0.4669, -1.205)
               8.531                   (-0.9434, -0.3315)                   (-0.4643, -1.209)
               8.532                   (-0.9418, -0.3362)                   (-0.4616, -1.213)
               8.533                   (-0.9401, -0.3409)                   (-0.4589, -1.217)
               8.534                   (-0.9384, -0.3455)                   (-0.4562, -1.222)
               8.535                   (-0.9367, -0.3502)                   (-0.4536, -1.226)
               8.536                   (-0.9349, -0.3549)                   (-0.4509, -1.23)
               8.537                   (-0.9331, -0.3595)                   (-0.4482, -1.234)
               8.538                   (-0.9313, -0.3642)                   (-0.4456, -1.238)
               8.539                   (-0.9295, -0.3689)                   (-0.4429, -1.243)
                8.54                   (-0.9276, -0.3735)                   (-0.4402, -1.247)
               8.541                   (-0.9257, -0.3782)                   (-0.4375, -1.251)
               8.542                   (-0.9238, -0.3829)                   (-0.4349, -1.255)
               8.543                   (-0.9219, -0.3875)                   (-0.4322, -1.259)
               8.544                   (-0.9199, -0.3922)                   (-0.4295, -1.264)
               8.545                   (-0.9179, -0.3968)                   (-0.4268, -1.268)
               8.546                   (-0.9159, -0.4014)                   (-0.4241, -1.272)
               8.547                   (-0.9138, -0.4061)                   (-0.4215, -1.276)
               8.548                   (-0.9118, -0.4107)                   (-0.4188, -1.281)
               8.549                   (-0.9097, -0.4154)                   (-0.4161, -1.285)
                8.55                   (-0.9075, -0.42)                   (-0.4134, -1.289)
               8.551                   (-0.9054, -0.4246)                   (-0.4107, -1.294)
               8.552                   (-0.9032, -0.4292)                   (-0.4081, -1.298)
               8.553                   (-0.901, -0.4338)                   (-0.4054, -1.302)
               8.554                   (-0.8988, -0.4385)                   (-0.4027, -1.307)
               8.555                   (-0.8965, -0.4431)                   (-0.4, -1.311)
               8.556                   (-0.8942, -0.4477)                   (-0.3973, -1.316)
               8.557                   (-0.8919, -0.4523)                   (-0.3947, -1.32)
               8.558                   (-0.8895, -0.4569)                   (-0.392, -1.324)
               8.559                   (-0.8872, -0.4615)                   (-0.3893, -1.329)
                8.56                   (-0.8848, -0.466)                   (-0.3866, -1.333)
               8.561                   (-0.8823, -0.4706)                   (-0.3839, -1.338)
               8.562                   (-0.8799, -0.4752)                   (-0.3812, -1.342)
               8.563                   (-0.8774, -0.4798)                   (-0.3785, -1.346)
               8.564                   (-0.8749, -0.4843)                   (-0.3759, -1.351)
               8.565                   (-0.8724, -0.4889)                   (-0.3732, -1.355)
               8.566                   (-0.8698, -0.4934)                   (-0.3705, -1.36)
               8.567                   (-0.8672, -0.498)                   (-0.3678, -1.364)
               8.568                   (-0.8646, -0.5025)                   (-0.3651, -1.369)
               8.569                   (-0.8619, -0.507)                   (-0.3624, -1.373)
                8.57                   (-0.8592, -0.5116)                   (-0.3598, -1.378)
               8.571                   (-0.8565, -0.5161)                   (-0.3571, -1.382)
               8.572                   (-0.8538, -0.5206)                   (-0.3544, -1.387)
               8.573                   (-0.851, -0.5251)                   (-0.3517, -1.391)
               8.574                   (-0.8483, -0.5296)                   (-0.349, -1.396)
               8.575                   (-0.8454, -0.5341)                   (-0.3463, -1.401)
               8.576                   (-0.8426, -0.5386)                   (-0.3436, -1.405)
               8.577                   (-0.8397, -0.543)                   (-0.341, -1.41)
               8.578                   (-0.8368, -0.5475)                   (-0.3383, -1.414)
               8.579                   (-0.8339, -0.552)                   (-0.3356, -1.419)
                8.58                   (-0.8309, -0.5564)                   (-0.3329, -1.424)
               8.581                   (-0.8279, -0.5609)                   (-0.3302, -1.428)
               8.582                   (-0.8249, -0.5653)                   (-0.3276, -1.433)
               8.583                   (-0.8218, -0.5697)                   (-0.3249, -1.437)
               8.584                   (-0.8188, -0.5741)                   (-0.3222, -1.442)
               8.585                   (-0.8157, -0.5785)                   (-0.3195, -1.447)
               8.586                   (-0.8125, -0.5829)                   (-0.3168, -1.451)
               8.587                   (-0.8093, -0.5873)                   (-0.3142, -1.456)
               8.588                   (-0.8061, -0.5917)                   (-0.3115, -1.461)
               8.589                   (-0.8029, -0.5961)                   (-0.3088, -1.465)
                8.59                   (-0.7997, -0.6005)                   (-0.3061, -1.47)
               8.591                   (-0.7964, -0.6048)                   (-0.3035, -1.475)
               8.592                   (-0.793, -0.6092)                   (-0.3008, -1.48)
               8.593                   (-0.7897, -0.6135)                   (-0.2981, -1.484)
               8.594                   (-0.7863, -0.6178)                   (-0.2954, -1.489)
               8.595                   (-0.7829, -0.6221)                   (-0.2928, -1.494)
               8.596                   (-0.7795, -0.6265)                   (-0.2901, -1.499)
               8.597                   (-0.776, -0.6307)                   (-0.2874, -1.503)
               8.598                   (-0.7725, -0.635)                   (-0.2848, -1.508)
               8.599                   (-0.7689, -0.6393)                   (-0.2821, -1.513)
                 8.6                   (-0.7654, -0.6436)                   (-0.2795, -1.518)
               8.601                   (-0.7618, -0.6478)                   (-0.2768, -1.522)
